date,precip,rainfall,snow_melt,Tair,baseflow,runoff
8/2/09,0,0,0,23.34288406,0.023174286,0
8/3/09,0,0,0,23.7280941,0.023167713,0
8/4/09,0,0,0,22.89183426,0.023161139,0
8/5/09,0,0,0,23.38531876,0.023154568,0
8/6/09,0,0,0,20.66643524,0.023147997,0
8/7/09,0,0,0,14.04335976,0.023141429,0
8/8/09,0,0,0,13.99813557,0.023134861,0
8/9/09,0,0,0,13.71521568,0.023128297,0
8/10/09,0,0,0,16.49051666,0.023121733,0
8/11/09,0,0,0,20.53758812,0.023115171,0
8/12/09,0,0,0,21.8531189,0.023108611,0
8/13/09,0,0,0,21.64877129,0.023102051,0
8/14/09,0,0,0,18.94332504,0.023095494,0
8/15/09,0,0,0,18.40332985,0.023088938,0
8/16/09,0,0,0,13.43781662,0.023082385,0
8/17/09,0,0,0,14.87538624,0.023075832,0
8/18/09,0,0,0,16.54896355,0.023069281,0
8/19/09,0,0,0,18.98778725,0.023062732,0
8/20/09,0,0,0,21.53222084,0.023056183,0
8/21/09,0,0,0,23.14052963,0.023049638,0
8/22/09,0.5,0.5,0,23.26235771,0.023043092,0.011870284
8/23/09,2.375,2.375,0,19.93373108,0.023036551,0.039907306
8/24/09,0.699999988,0.699999988,0,18.07598305,0.023030009,0.019951079
8/25/09,0.050000001,0.050000001,0,17.55223846,0.023023469,0.000864619
8/26/09,0,0,0,19.25306892,0.02301693,0
8/27/09,0,0,0,19.96466446,0.023010394,0
8/28/09,0,0,0,21.66147232,0.023003859,0
8/29/09,0,0,0,22.37667084,0.022997325,0
8/30/09,0,0,0,20.7935524,0.022990793,0
8/31/09,0,0,0,20.03637123,0.022984263,0
9/1/09,0,0,0,19.89020157,0.022977734,0
9/2/09,0,0,0,19.48225594,0.022971207,0
9/3/09,0,0,0,20.8727932,0.022964682,0
9/4/09,0,0,0,18.96603775,0.022958158,0
9/5/09,0,0,0,21.15045738,0.022951636,0
9/6/09,0,0,0,20.35622787,0.022945115,0
9/7/09,0,0,0,17.57740402,0.022938596,0
9/8/09,0,0,0,16.50486374,0.022932079,0
9/9/09,0,0,0,17.98786354,0.022925563,0
9/10/09,0,0,0,19.13194656,0.022919049,0
9/11/09,0,0,0,18.64609146,0.022912536,0
9/12/09,0,0,0,19.35197067,0.022906026,0
9/13/09,0.699999988,0.699999988,0,20.45434761,0.022899516,0.019079953
9/14/09,1.850000024,1.850000024,0,15.57537365,0.022893008,0.031042105
9/15/09,0.224999994,0.224999994,0,14.58244514,0.022886502,0.003845525
9/16/09,0,0,0,14.38893414,0.022879997,0
9/17/09,0,0,0,16.10970306,0.022873493,0
9/18/09,0,0,0,17.53828812,0.022866992,0
9/19/09,0,0,0,19.18114853,0.022860492,0
9/20/09,0,0,0,16.80605507,0.022853995,0
9/21/09,0,0,0,10.74033356,0.022847498,0
9/22/09,0,0,0,11.6746664,0.022841003,0
9/23/09,0,0,0,14.8267498,0.022834508,0
9/24/09,0,0,0,15.41950035,0.022828016,0
9/25/09,0,0,0,16.23374939,0.022821527,0
9/26/09,0,0,0,16.6139164,0.022815038,0
9/27/09,0,0,0,15.42158318,0.02280855,0
9/28/09,0,0,0,17.07766724,0.022802064,0
9/29/09,1.899999976,1.899999976,0,16.51166725,0.02279558,0.064376861
9/30/09,4.449999809,4.449999809,0,10.60350037,0.022789098,0.078741938
10/1/09,0,0,0,2.737833261,0.022782618,0
10/2/09,0,0,0,6.03000021,0.022776138,0
10/3/09,0.925000012,0.925000012,0,9.204166412,0.022769662,0.030425647
10/4/09,2.674999952,2.46557951,0,6.182750225,0.022763185,0.052881591
10/5/09,0.075000003,0.05201273,0,3.991083384,0.022756711,0.00234819
10/6/09,0,0,0,3.149083376,0.022750238,0
10/7/09,0,0,0,4.514333248,0.022743767,0
10/8/09,0,0,0,5.095166683,0.022737298,0
10/9/09,0,0,0,7.651249886,0.022730829,0
10/10/09,0,0,0,6.692749977,0.022724364,0
10/11/09,0.125,0.111001745,0,9.163833618,0.022717899,0.002253724
10/12/09,1.024999976,1.024999976,0,9.668582916,0.022711435,0.025208488
10/13/09,2.349999905,2.349999905,0,10.32291698,0.022704974,0.043825939
10/14/09,1.200000048,1.200000048,0,10.51141644,0.022698514,0.042667426
10/15/09,0,0,0,10.55608368,0.022692055,0
10/16/09,0,0,0,11.09541702,0.022685599,0
10/17/09,0,0,0,11.39900017,0.022679143,0
10/18/09,0.050000001,0.050000001,0,12.63141632,0.02267269,0.000927636
10/19/09,4.150000095,4.150000095,0,12.64958286,0.022666238,0.109852932
10/20/09,8.475000381,8.475000381,0,6.73791647,0.022659788,0.2808806
10/21/09,0,0,0,4.858749866,0.022653339,0
10/22/09,0.025,0.018176772,0,6.055916786,0.022646891,0.000440363
10/23/09,0.025,0.019552728,0,7.217333317,0.022640446,0.000473897
10/24/09,0.100000001,0.100000001,0,8.026249886,0.022634003,0.00219235
10/25/09,0.550000012,0.347043216,0,5.390583515,0.02262756,0.007591367
10/26/09,1.575000048,1.043390274,0,2.737750053,0.022621119,0.027216641
10/27/09,0.5,0.270833343,0,1.476666689,0.022614682,0.006390943
10/28/09,0.025,0.009375,0,-1.912833333,0.022608245,0.00022738
10/29/09,0,0,0,-1.609666705,0.022601809,0
10/30/09,0,0,0,5.328083515,0.022595374,0
10/31/09,0,0,0,7.921999931,0.022588942,0
11/1/09,0,0,0,7.978833199,0.022582512,0
11/2/09,0,0,0,7.36016655,0.022576082,0
11/3/09,0,0,0,7.229333401,0.022569655,0
11/4/09,0,0,0,9.529833794,0.022563228,0
11/5/09,0,0,0,11.33283329,0.022556804,0
11/6/09,0,0,0,11.26508331,0.022550382,0
11/7/09,0,0,0,4.834566116,0.022543959,0
11/8/09,0,0,0,1.752847672,0.022537541,0
11/9/09,0,0,0,3.472212315,0.022531122,0
11/10/09,0,0,0,7.750421047,0.022524705,0
11/11/09,0,0,0,9.575118065,0.02251829,0
11/12/09,0.075000003,0.071874999,0,6.989553452,0.022511877,0.001430366
11/13/09,0.275000006,0.137500003,0,0.746124804,0.022505466,0.002846911
11/14/09,0.5,0.017038044,0,-5.05592823,0.022499057,0.000654796
11/15/09,0,0,0,-6.898762703,0.022492647,0
11/16/09,0,0,0,-2.055271387,0.02248624,0
11/17/09,0,0,0,1.776550889,0.022479836,0
11/18/09,0,0,0,4.79264164,0.022473432,0
11/19/09,0,0,0,-0.371898204,0.022467028,0
11/20/09,0,0,0,1.814077497,0.022460628,0
11/21/09,0,0,0,1.390777946,0.02245423,0
11/22/09,0.125,0.057291668,0,0.249990419,0.022447832,0.001157212
11/23/09,0.050000001,0.019288227,0,-3.184814215,0.022441437,0.000407299
11/24/09,0,0,0,-3.340327978,0.022435043,0
11/25/09,0,0,0,-1.846450925,0.02242865,0
11/26/09,0,0,0,0.649555445,0.02242226,0
11/27/09,0,0,0,4.281248093,0.022415871,0
11/28/09,0,0,0,1.062859178,0.022409482,0
11/29/09,0,0,0,-0.894818068,0.022403097,0
11/30/09,0,0,0,-0.717311978,0.022396712,0
12/1/09,0,0,0,2.116790056,0.02239033,0
12/2/09,0,0,0,-5.075998783,0.022383949,0
12/3/09,0,0,0,-8.280189514,0.022377569,0
12/4/09,0,0,0,-4.934579849,0.02237119,0
12/5/09,0,0,0,-3.399959326,0.022364814,0
12/6/09,0.075000003,0,0,-11.62825394,0.02235844,0
12/7/09,1.200000048,0,0,-11.16699886,0.022352066,0
12/8/09,2.650000095,0,0,-13.24911308,0.022345694,0
12/9/09,0,0,0,-15.0093174,0.022339324,0
12/10/09,0,0,0,-14.4360466,0.022332955,0
12/11/09,0.075000003,0,0,-11.1193943,0.022326589,0
12/12/09,2.400000095,1.098999977,0,-1.798171401,0.022320224,0.026035301
12/13/09,5.275000095,1.237835407,0,-1.44142127,0.022313861,0
12/14/09,0.050000001,0.014832074,0,-2.662106514,0.022307498,0
12/15/09,0,0,0,-3.563536882,0.022301137,0
12/16/09,0,0,0.223041356,-0.207465738,0.022294778,0.008955365
12/17/09,0,0,0,-3.768037558,0.022288421,0
12/18/09,0,0,0,-5.752019882,0.022282066,0
12/19/09,0,0,0,-3.549271345,0.022275712,0
12/20/09,0.425000012,0.144150421,0,-4.825983524,0.022269361,0.003405002
12/21/09,2.125,0.808199406,0,-3.44638443,0.022263009,0.018027782
12/22/09,5,0.966998756,0,-3.698040009,0.022256659,0
12/23/09,0.125,0,0,-8.539952278,0.022250313,0
12/24/09,0.150000006,0,0,-11.26432323,0.022243967,0
12/25/09,0.100000001,0,0,-13.60943317,0.022237623,0
12/26/09,0,0,0,-13.11765099,0.022231279,0
12/27/09,0,0,0,-13.16060257,0.022224938,0
12/28/09,0.025,0,0,-13.25585175,0.022218598,0
12/29/09,0.550000012,0,0,-8.06846714,0.022212261,0
12/30/09,1.024999976,0,0,-7.091226101,0.022205925,0
12/31/09,0.025,0.000237075,0,-9.795524597,0.02219959,6.98E-06
1/1/10,0,0,0,-2.25570488,0.022193257,0
1/2/10,0,0,0,-4.623804569,0.022186926,0
1/3/10,0,0,0,-7.976236343,0.022180596,0
1/4/10,0,0,0,-8.579833984,0.022174267,0
1/5/10,0,0,0,-4.071145058,0.02216794,0
1/6/10,0,0,0,-0.561285973,0.022161616,0
1/7/10,0,0,0,-1.855011106,0.022155292,0
1/8/10,0,0,0,-8.613192558,0.022148971,0
1/9/10,0,0,0,-2.804283619,0.022142651,0
1/10/10,0,0,0,-3.547995806,0.022136331,0
1/11/10,0,0,0,-2.293839931,0.022130014,0
1/12/10,0.774999976,0.343477964,0,-0.683720589,0.022123698,0.007260088
1/13/10,2.099999905,0.776733279,0,-1.779105544,0.022117384,0.01671084
1/14/10,0.150000006,0.040382832,0,-3.570729017,0.022111071,0.001067713
1/15/10,0,0,0,-4.450687408,0.022104761,0
1/16/10,0.349999994,0.1628609,0,-1.964561582,0.022098452,0.003294885
1/17/10,1.424999952,0.684521735,0,-0.400933325,0.022092145,0.014374422
1/18/10,0.699999988,0.277136266,0,-1.057338119,0.02208584,0.006625808
